 Kassim Schneider Raslan,"('RUA SERGIPE', '6911701', '')"
 Loja Ângela Barbini,"('RUA JOAQUIM NABUCO', '4781400', '')"
 Casa Bernardi,"('RUA CONDE DE LINHARES', '9602502', '9602501')"
 Posto Betânia,"('RUA URSULA PAULINO', '4731800', '4732600')"
 Banco do Brasil S/A-Ag Praça da Liberdade BH,"('RUA SERGIPE', '6421200', '')"
 Clínica Odontológica Hudson Viana,"('RUA MARANHAO', '6550200', '8630504')"
 Canela Amarela,"('RUA OSCAR TROMPOWSKY', '5611201', '')"
 Igreja Evangélica Caminho na Luz,"('RUA ICO', '9491000', '')"
 Receita Federal Do Brasil,"('AVENIDA OLEGARIO MACIEL', '4713001', '')"
 Edifício Gumercina Rosa Salmem Rodrigues,"('RUA PADRE PEDRO PINTO', '6822600', '')"
 Eloah Modas,"('RUA PADRE PEDRO PINTO', '4782201', '4781400')"
 Cia do Peixe,"('RUA SALVIA', '4712100', '4724500')"
 BH Oftalmo,"('RUA PROFESSOR MORAES', '7722500', '4713001')"
 VBA Serralharia,"('RUA MONTES CLAROS', '9529102', '4520007')"
 O Boiadeiro Pizzaria,"('RUA TIPUANA', '4712100', '4724500')"
 Mazzarello Eventos,"('RUA DAS MANGUEIRAS', '5611202', '4712100')"
 Volée Viagens e Turismo LTDA,"('AVENIDA GETULIO VARGAS', '7911200', '7912100')"
 Bombeiro Eletricista e Desentupidora Sion,"('RUA MONTES CLAROS', '4322301', '4321500')"
 Chalé da Mata Lanches,"('RUA MARIA HEILBUTH SURETTE', '9491000', '')"
 HM Serviços,"('AVENIDA DOM JOAO VI', '4321500', '')"
 ACMINAS,"('RUA PADRE PEDRO PINTO', '4713001', '')"
 Frilux,"('AVENIDA PROFESSOR MARIO WERNECK', '4713001', '4693100')"
 A Fina Flor,"('RUA EPHIGENIA DE CASTRO BELFORT', '4781400', '9602502')"
 Restaurante da Dorinha,"('RUA ALCIDES LINS', '4712100', '')"
 Brindari,"('AVENIDA PRUDENTE DE MORAIS', '4723700', '4712100')"
 SR Turismo CVC,"('AVENIDA DOS BANDEIRANTES', '7911200', '')"
 Zurka Cerimonial e Buffet,"('RUA GENTIL PORTUGAL DO BRASIL', '4712100', '5611202')"
 Espaço DR por Dierley Rodrigues,"('RUA SENADOR LIMA GUIMARAES', '9602501', '9602502')"
 Banco Bradesco,"('RUA FERNANDES TOURINHO', '6421200', '')"
 Bendita Beleza,"('RUA CASCALHEIRA', '9602501', '')"
 TRENDORFINA Fitness Wear,"('RUA NICARAGUA', '4772500', '4781400')"
 Depósito de Papel Velho Morais,"('AVENIDA AFONSO VAZ DE MELO', '4713001', '4711302')"
 Alfonso Sempertegui,"('AVENIDA RAJA GABAGLIA', '8630503', '')"
 Zac Tendências,"('AVENIDA NOSSA SENHORA DO CARMO', '4781400', '9529199')"
 Restaurante Rei do Pé de Porco,"('RUA MENOTTI MUCCELLI', '5611201', '5620103')"
 Endurance Runners,"('RUA GENERAL ANDRADE NEVES', '4781400', '')"
 Condomínio do Edifício Cota Mil,"('RUA PADRE PEDRO PINTO', '4713001', '')"
 Reciclo Asmare Cultural,"('RUA DA BAHIA', '5611202', '5611201')"
 autentcar auto elétrica,"('RUA ONZE', '4520001', '')"
 Carolina Colours Ltda,"('RUA DOS INCONFIDENTES', '4781400', '7723300')"
 Barbecue Organização de Churrascos e Eventos,"('RUA LINDOLFO DE AZEVEDO', '4724500', '4712100')"
 Cláudio Soares Donato,"('RUA PROFESSOR MORAES', '6911701', '')"
 Organizações Tabajara,"('RUA A', '4530701', '4520001')"
 Super Nosso,"('AVENIDA DO CONTORNO', '4711302', '6619302')"
 Gaia Tur,"('AVENIDA AFONSO PENA', '7911200', '7990200')"
 Coni - Negócios Imobiliários,"('AVENIDA DO CONTORNO', '6821801', '6821802')"
 Marília Pizzeria,"('RUA SANTA CATARINA', '5611201', '5611202')"
 Adalgisa Duque - Atelier e Showroom,"('AVENIDA DO CONTORNO', '4781400', '9602502')"
 For Job - Coworking,"('RUA PROFESSOR MORAES', '7722500', '4713001')"
 A.R Modas,"('RUA AGUANIL', '4782201', '4781400')"
 Instituto Art Beleza,"('RUA INDIANA', '9602501', '4772500')"
 Opção,"('RUA DESEMBARGADOR RIBEIRO DA LUZ', '4781400', '4782201')"
 Jorge J Nemer Fº,"('RUA BERNARDO FIGUEIREDO', '4781400', '4755501')"
 Restaurante Arantes- Botequim e Carnes Nobres,"('AVENIDA DO CONTORNO', '5611201', '')"
 Com Você Comunicação,"('RUA ALDEMIRO FERNANDES TORRES', '3101200', '4713001')"
 Caixa de Beneficência dos Funcionários da Emater,"('AVENIDA RAJA GABAGLIA', '4713001', '4743100')"
 Posto Vista Alegre,"('RUA JUATUBA', '4731800', '4784900')"
 AMOUR | Loja - Showroom,"('AVENIDA DO CONTORNO', '4781400', '9602502')"
 Varejão Tirol,"('RUA FRANCISCO JONAS SANTANA', '4712100', '4724500')"
 Degraus Bar e Restaurante,"('RUA PEDRA PRECIOSA', '4712100', '')"
 Geraldo S Neves,"('RUA SANTA CATARINA', '9602501', '9602502')"
 Bola de Gude,"('AVENIDA PROFESSOR MARIO WERNECK', '4781400', '4642701')"
 CMC Jóias Ltda,"('AVENIDA DO CONTORNO', '4649410', '4783101')"
 Metrópolis Imóveis - Credenciada Redeimov,"('RUA CONDE DE LINHARES', '6821801', '')"
 Richards,"('AVENIDA DO CONTORNO', '4781400', '9602502')"
 Legumes e Frutas Canarinho,"('RUA OURO FINO', '4712100', '')"
 Salão de Beleza Marília & Dirceu,"('RUA SANTA CATARINA', '9602501', '9602502')"
 Valência Imóveis,"('AVENIDA SILVA LOBO', '6821801', '6821802')"
 D'Viller Comércio e Ind de Roupas,"('RUA MARIA MARTINS', '1412603', '4781400')"
 Supermercado Vem K Ver,"('RUA LIRIOS DO CAMPO', '4712100', '4679604')"
 GABBINETTO MOVEIS PARA ESCRITÓRIOS,"('AVENIDA RAJA GABAGLIA', '9700500', '')"
 Cristiane Queiroz Fonseca Perillo,"('AVENIDA DO CONTORNO', '8630504', '')"
 Dona Derna,"('AVENIDA AFONSO PENA', '5611201', '5611202')"
 OMB Advocacia,"('RUA BERNARDO GUIMARAES', '6911701', '')"
 Consultório Dr Wellington Borges Leite,"('RUA DOMINGOS GROSSO', '8630503', '')"
 IBEP- Igreja Batista Evangelho Pleno,"('RUA ESPIRITO SANTO', '9491000', '')"
 A Bicicleta Bike 1000 & Moto 1000 Ltda,"('RUA CAMPO FORMOSO', '4763603', '9529104')"
 Liliane Versiane Ramos Guimarães,"('AVENIDA DO CONTORNO', '5611202', '9329801')"
 Waleska A Z Amaral,"('AVENIDA RAJA GABAGLIA', '4511101', '4520001')"
 ArteFisio,"('RUA PASTOR RUI FRANCO', '9313100', '')"
 Comercial Nagazaki,"('AVENIDA TEREZA CRISTINA', '3101200', '9529105')"
 Chaves Gold,"('RUA CASCALHEIRA', '9529102', '4744001')"
 Fitatex Etiquetas e Rótulos,"('RUA PINTO MARTINS', '4713001', '4755502')"
 Gw Contabilidade,"('RUA DANIEL LOPES FARIA', '6920601', '7319003')"
 Chico Savassi,"('RUA ALAGOAS', '5611201', '4721102')"
 Estacionamento Muzambinho Ltda,"('AVENIDA AFONSO PENA', '5223100', '')"
 Tele-Fone Ltda,"('RUA MONTES CLAROS', '4221905', '4753900')"
 Salão Regina,"('RUA QUINANTE', '9602501', '')"
 Lima IT Solutions,"('AVENIDA SILVA LOBO', '4713001', '6619302')"
 1shop.com.br,"('RUA RIO GRANDE DO NORTE', '4781400', '4782201')"
 Barril Lanche,"('RUA CERQUEIRA LEITE', '5611201', '5611203')"
 Malha Mania,"('AVENIDA SILVA LOBO', '4781400', '')"
 Café do Museu,"('AVENIDA DO CONTORNO', '5611201', '5611203')"
 Academia Fox Fit,"('RUA XAPURI', '9313100', '')"
 Planeta Ar Buritis,"('AVENIDA PROFESSOR MARIO WERNECK', '4713001', '4693100')"
 Helô Bicalho,"('RUA MAJOR LOPES', '1411801', '4781400')"
 Grupo Brugnara,"('AVENIDA RAJA GABAGLIA', '6911701', '')"
 Raja Hall Recepções e Eventos Ltda,"('AVENIDA RAJA GABAGLIA', '4713001', '4743100')"
 EM Luiz Gatti,"('AVENIDA AFONSO VAZ DE MELO', '4713001', '4711302')"
 Sol e Lua Turismo,"('RUA PADRE PEDRO PINTO', '4713001', '')"
 Casa Nostra Delivery,"('RUA LAGOA DA PRATA', '4712100', '')"
 Consultório Dr. Lucas Chaib,"('AVENIDA PROFESSOR MARIO WERNECK', '4713001', '4693100')"
 Tudo No Espeto,"('AVENIDA GETULIO VARGAS', '5611201', '4729699')"
 Padaria e Confeitaria Renault,"('AVENIDA VILARINHO', '1091102', '4712100')"
 Pullman Cabeleireiros,"('RUA MATO VERDE', '9602502', '9602501')"
 Ouro preto vidros,"('AVENIDA PROFESSOR MARIO WERNECK', '4713001', '4693100')"
 H.Stern,"('AVENIDA DO CONTORNO', '4649410', '4783101')"
 Mais Cursos & Viagens,"('RUA ALMIRANTE ALEXANDRINO', '7911200', '7420003')"
 Hospfar,"('RUA BERNARDO GUIMARAES', '8610101', '')"
 Hermes Ebanesteria,"('AVENIDA GETULIO VARGAS', '4649404', '3101200')"
 Clan Glass Business Tower Hotel,"('RUA GONCALVES DIAS', '5611202', '5590699')"
 Polen Jardim e Escola,"('RUA PIUM I', '8512100', '8511200')"
 Studio de Beleza HM,"('RUA PEDRA DO MAR', '9602501', '4772500')"
 La Porte,"('RUA SANTA CATARINA', '4782201', '4781400')"
 Bangkok Royal Thai Cusine,"('RUA FERNANDES TOURINHO', '5611203', '5611201')"
 Body Action,"('RUA PIUM I', '9602502', '9313100')"
 Escola de Arquitetura UFMG,"('RUA PARAIBA', '8531700', '8533300')"
 Ferreira Cabeleireiros,"('RUA RIO GRANDE DO NORTE', '9602501', '')"
 Moderpan Indústria Com e Rep Ltda,"('AVENIDA SENADOR LEVINDO COELHO', '5611203', '4712100')"
 Assis Perfeito & Soares Advogados e Consultores,"('AVENIDA PROFESSOR MARIO WERNECK', '6911701', '')"
 Base Tecnologia,"('AVENIDA VILARINHO', '4754701', '4753900')"
 Melhor GPS para todos os veículos,"('AVENIDA PROFESSOR MARIO WERNECK', '4713001', '4693100')"
 Condomínio do Edifício Saint Moritz,"('RUA SAO PAULO', '4713001', '')"
 Cats Women's Shoes,"('RUA PARAIBA', '4781400', '1412601')"
 Empreendimentos Catas Altas Ltda,"('AVENIDA RAJA GABAGLIA', '4713001', '4743100')"
 Passeio INHOTIM,"('RUA ATTILIO DE MORO', '7911200', '')"
 Posto Cabral Ltda,"('AVENIDA DO CONTORNO', '4731800', '4732600')"
 Contatos Jeans,"('RUA ALAGOAS', '4781400', '')"
 Salão Atair,"('RUA ERIDANO', '9602501', '')"
 Global conn,"('AVENIDA PROFESSOR MARIO WERNECK', '4713001', '4693100')"
 Missbella,"('RUA BENVINDA DE CARVALHO', '4783101', '4781400')"
 Juliana Drumond Brandão,"('AVENIDA BRASIL', '8630504', '')"
 Centro Nefrológico do hospital evangelico,"('RUA PADRE PEDRO PINTO', '8630503', '8610101')"
 Armazém do Mar,"('RUA SACADURA CABRAL', '4712100', '')"
 Corval Corretora de Valores Mobiliários,"('RUA PADRE PEDRO PINTO', '4713001', '')"
 Panificadora Tradição do Carmo,"('RUA MONTES CLAROS', '4712100', '4721103')"
 Selt Engenharia,"('AVENIDA RAJA GABAGLIA', '4713001', '4743100')"
 Bravo Catering,"('RUA PIUMA', '4721102', '4712100')"
 Aleph cafés,"('AVENIDA DO CONTORNO', '5611201', '5611203')"
 Bozza,"('AVENIDA RAJA GABAGLIA', '4713001', '4743100')"
 Ballesteros Corretora de Seguros Ltda,"('AVENIDA NOSSA SENHORA DO CARMO', '6512000', '')"
 Igreja Batista Getsêmani Missão Barreiro,"('RUA CAETANO PIRRI', '9491000', '')"
 Didi do Cokis,"('RUA SANTA CRUZ', '5611202', '5611201')"
 Vitaminas Açaí com,"('RUA PADRE PEDRO PINTO', '5611201', '5611202')"
 Igreja Batista Renovada Jatobá,"('RUA AGUAS DA PRATA', '9491000', '')"
 Bracarense & Ribeiro-Advogados Associados,"('AVENIDA OLEGARIO MACIEL', '4713001', '')"
 Excelsior Ferragens Lourdes,"('AVENIDA DO CONTORNO', '4744099', '4120400')"
 Facemg,"('RUA PADRE PEDRO PINTO', '4713001', '')"
 Marlos Moda Ele Ela / Brinquedos e Presentes,"('RUA HERCULANO DE FREITAS', '4781400', '4774100')"
 Loja Salim,"('RUA PADRE PEDRO PINTO', '4713001', '')"
 Excalibur Pub,"('RUA JUNQUILHOS', '5611202', '')"
 Paranaíba Assis Alimentos Ltda,"('RUA AMILCAR CABRAL', '4712100', '')"
