 Fermaço,"('AVENIDA SILVIANO BRANDAO', '4713001', '4744099')"
 Nativa de Jacutinga,"('AVENIDA VISCONDE DE IBITURUNA', '4781400', '4783102')"
 Financiall,"('RUA PADRE PEDRO PINTO', '4713001', '')"
 BH Decor-Mobd Universal,"('AVENIDA PRESIDENTE CARLOS LUZ', '4713001', '4649499')"
 Sacolão Santos,"('RUA MARIA CANDIDA', '4712100', '')"
 Nec Assessoria Contábil,"('RUA ELVIRA AUGUSTA', '6920601', '')"
 Paulinelli,"('RUA ITAJUBA', '5611201', '')"
 Topa Quade Tudo Vida Nova,"('RUA PADRE PEDRO PINTO', '4713001', '')"
 Curinga dos Pneus Ltda,"('AVENIDA SANTA ROSA', '4520001', '4520004')"
 Super Troca de Óleo - Estação do Óleo,"('RUA MAGNOLIA', '4520001', '4520004')"
 Aluguel de Iluminação de Palco e Cenografia,"('RUA ANAPURUS', '4721102', '4712100')"
 Andréia Modas,"('RUA JULITA NOGUEIRA SOARES', '4781400', '')"
 Gelo Ice Tech Ind e Comércio Ltda,"('RUA MAURICIO DE NASSAU', '4712100', '5611202')"
 Estripulia,"('AVENIDA PRESIDENTE CARLOS LUZ', '4713001', '4649499')"
 Aviário JJ,"('RUA GUARARAPES', '4712100', '5611202')"
 Mecânicar,"('AVENIDA AMINTAS JACQUES DE MORAES', '4520001', '4530703')"
 Auto Elétrica Ribeiro Ltda,"('AVENIDA VILARINHO', '4520001', '')"
 WCM Academia,"('AVENIDA PROFESSOR MARIO WERNECK', '9313100', '')"
 Minas Themp Ar Condicionado,"('RUA PADRE PEDRO PINTO', '4713001', '')"
 Centro Automotivo Lanterdany,"('RUA ALDEMIRO FERNANDES TORRES', '3101200', '4713001')"
 Peças Usadas Duarte,"('RUA PADRE PEDRO PINTO', '4530703', '4520001')"
 Ronaldo L Rocha,"('RUA FELICIDADE', '4520001', '4520005')"
 NSA Consultoria e Informática Ltda,"('AVENIDA CRISTIANO MACHADO', '4713001', '')"
 Auto Molas e Peças Minas Gerais,"('RUA CALDAS DA RAINHA', '4520001', '4520002')"
 Inventano Moda - Moda Feminina em Belo Horizonte,"('RUA OTAVIANO FABRI', '4781400', '')"
 Vulcanização Pneus Tip Top,"('AVENIDA CRISTIANO MACHADO', '4520004', '4520001')"
 Vi Store,"('RUA JOSE RIBEIRO FILHO', '4781400', '')"
 Lantercar,"('RUA MAGNOLIA', '4520001', '4520004')"
 Pedra Menina,"('RUA GAVEA', '4781400', '4530704')"
 Salão Mega Hair,"('RUA SENHORA DO PORTO', '9602501', '9602502')"
 Arejar Ventilação,"('RUA PADRE PEDRO PINTO', '4713001', '')"
 Na Lenha Pizza e Grill,"('RUA ELSON NUNES DE SOUZA', '5611201', '1531902')"
 Casa presente,"('AVENIDA PROFESSOR MARIO WERNECK', '4713001', '4693100')"
 Jm Materiais de Construção,"('RUA PADRE PEDRO PINTO', '4713001', '')"
 Centro Automotivo Fiel Car,"('RUA PADRE PEDRO PINTO', '4530703', '4520001')"
 Cia Kollor Formaturas,"('RUA BOAVENTURA', '0782', '4713001')"
 Jaffar Cabeleireiros,"('RUA ITAPAGIPE', '9602501', '9602502')"
 Chop Palato,"('RUA ITAPAGIPE', '5611202', '5611201')"
 Mac Calibracoes Ltda,"('RUA IZABEL BUENO', '4713001', '')"
 Monteiro Costa Mao de Obra Terceirizada e Conservadora,"('RUA ITAPEVA', '9491000', '')"
 Soverteria Sabor da Fruta,"('RUA PADRE PEDRO PINTO', '5611201', '5611202')"
 Magia Modas / Magia Masculina,"('AVENIDA DOM PEDRO I', '4781400', '1412601')"
 Bar Caiçara,"('RUA SAO MATIAS', '5611201', '5611203')"
 Condomínio do Edifício Tom Jobim,"('AVENIDA PROFESSOR MARIO WERNECK', '4713001', '4693100')"
 Toldestillus - Toldos,"('AVENIDA PRESIDENTE CARLOS LUZ', '4713001', '4649499')"
 Ateliê das Unhas,"('RUA JOSE FELIX MARTINS', '9602501', '')"
 Boys Space Moda Masculina Infantil,"('AVENIDA PROFESSOR MARIO WERNECK', '4781400', '4642701')"
 Sonhos Moda Íntima,"('AVENIDA DOUTOR CRISTIANO GUIMARAES', '4781400', '')"
 Very Modas,"('RUA IZALINA FAUSTINA SILVEIRA', '4781400', '4759801')"
 Portal Indiano,"('RUA GENERAL ARANHA', '4781400', '')"
 Cão da Moda,"('AVENIDA ABILIO MACHADO', '4711302', '4713001')"
 Fernanda R Lara,"('RUA FELIPE JOAO BAJUR', '9602501', '')"
 Igreja Batista Central,"('RUA LUCIO DOS SANTOS', '9491000', '')"
 Maison L Affaire,"('RUA BOLIVAR MINEIRO', '9602501', '')"
 Helô,"('RUA GAVEA', '4781400', '4530704')"
 Tele Pizza Tia Penha,"('AVENIDA BRIGADEIRO EDUARDO GOMES', '4712100', '4789001')"
 Agência de Viagens Ramos Turismo Ltda,"('RUA SAO MIGUEL', '7911200', '')"
 Green Pharma Química e Farmacêutica Ltda,"('RUA IZABEL BUENO', '4713001', '')"
 Centro Automotivo Daniel,"('RUA CORONEL BELMIRO CRUZ', '4520001', '4520004')"
 Todos os Santos,"('RUA GERALDO FARIA DE SOUZA', '5611202', '9001906')"
 Laticínios Borba,"('AVENIDA CRISTIANO MACHADO', '4713001', '')"
 deposito cassiá,"('RUA PADRE PEDRO PINTO', '4713001', '')"
